Region,Level,Item,production
EU,Commodity,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
EU,Commodity,Copper products,67946343685.83924
EU,Commodity,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
EU,Commodity,Other non-ferrous metal products,11186903464.047182
EU,Commodity,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
EU,Commodity,Foundry work services,47965521719.13171
EU,Commodity,"Fabricated metal products, except machinery and equipment (28)",591848250592.9701
EU,Commodity,Machinery and equipment n.e.c. (29),768960518491.2782
EU,Commodity,Office machinery and computers (30),113923457358.81287
EU,Commodity,Electrical machinery and apparatus n.e.c. (31),433775936993.72125
EU,Commodity,"Radio, television and communication equipment and apparatus (32)",225019751236.08545
EU,Commodity,"Medical, precision and optical instruments, watches and clocks (33)",253825051650.52844
EU,Commodity,"Motor vehicles, trailers and semi-trailers (34)",816530931109.215
EU,Commodity,Other transport equipment (35),232474622640.9525
EU,Commodity,Furniture; other manufactured goods n.e.c. (36),272883810448.53043
EU,Commodity,Secondary raw materials,33027013305.151634
EU,Commodity,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
EU,Commodity,Electricity by coal,67334236212.7897
EU,Commodity,Electricity by gas,64075102507.81722
EU,Commodity,Electricity by nuclear,65800451378.418915
EU,Commodity,Electricity by hydro,26678799173.71026
EU,Commodity,Electricity by wind,10809669769.831589
EU,Commodity,Electricity by petroleum and other oil derivatives,10321296070.855522
EU,Commodity,Electricity by biomass and waste,9233429374.586393
EU,Commodity,Electricity by solar photovoltaic,997494812.1282259
EU,Commodity,Electricity by solar thermal,31897804.68311253
EU,Commodity,"Electricity by tide, wave, ocean",47695551.10310233
EU,Commodity,Electricity by Geothermal,808112227.3476124
EU,Commodity,Electricity nec,3208123123.4511743
EU,Commodity,Transmission services of electricity,44884975266.58719
EU,Commodity,Distribution and trade services of electricity,202285815367.2888
EU,Commodity,Coke oven gas,434796838.03023195
EU,Commodity,Blast Furnace Gas,1588935428.5747528
EU,Commodity,Oxygen Steel Furnace Gas,13988896.680966359
EU,Commodity,Gas Works Gas,158990847.39269167
EU,Commodity,Biogas,3696311038.4022207
EU,Commodity,Distribution services of gaseous fuels through mains,169005810901.8255
EU,Commodity,Steam and hot water supply services,34467641710.58898
EU,Commodity,"Collected and purified water, distribution services of water (41)",71001413331.3617
EU,Commodity,Construction work (45),2025838594716.7383
EU,Commodity,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
EU,Commodity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",335755805860.56177
EU,Commodity,Retail trade services of motor fuel,36889438269.242676
EU,Commodity,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",708301566096.2009
EU,Commodity,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",223946167002.71603
EU,Commodity,Hotel and restaurant services (55),924154155007.6815
EU,Commodity,Railway transportation services,195596621211.05615
EU,Commodity,Other land transportation services,669893516901.8379
EU,Commodity,Transportation services via pipelines,18444734448.951332
EU,Commodity,Sea and coastal water transportation services,113220066930.59409
EU,Commodity,Inland water transportation services,10278699734.254974
EU,Commodity,Air transport services (62),198993755915.53183
EU,Commodity,Supporting and auxiliary transport services; travel agency services (63),780108404181.1066
EU,Commodity,Post and telecommunication services (64),709149428050.7949
EU,Commodity,"Financial intermediation services, except insurance and pension funding services (65)",723639448072.1215
EU,Commodity,"Insurance and pension funding services, except compulsory social security services (66)",316624557082.4276
EU,Commodity,Services auxiliary to financial intermediation (67),253455413507.04617
EU,Commodity,Real estate services (70),1859942378512.148
EU,Commodity,Renting services of machinery and equipment without operator and of personal and household goods (71),344037107493.39
EU,Commodity,Computer and related services (72),499969402075.40466
EU,Commodity,Research and development services (73),203058863574.39758
EU,Commodity,Other business services (74),1979804171474.8826
EU,Commodity,Public administration and defence services; compulsory social security services (75),1109924366388.5571
EU,Commodity,Education services (80),817698880655.0619
EU,Commodity,Health and social work services (85),1313975907821.097
EU,Commodity,Food waste for treatment: incineration,14293529748.307304
EU,Commodity,Paper waste for treatment: incineration,17297481459.427696
EU,Commodity,Plastic waste for treatment: incineration,14580126904.465633
EU,Commodity,Intert/metal waste for treatment: incineration,27438120252.215878
EU,Commodity,Textiles waste for treatment: incineration,3302150787.8812866
EU,Commodity,Wood waste for treatment: incineration,7698072789.987537
EU,Commodity,Oil/hazardous waste for treatment: incineration,18142954279.659092
EU,Commodity,Food waste for treatment: biogasification and land application,3565492403.979978
EU,Commodity,Paper waste for treatment: biogasification and land application,437415947.3471223
EU,Commodity,Sewage sludge for treatment: biogasification and land application,15394043995.478157
EU,Commodity,Food waste for treatment: composting and land application,20187142768.96314
EU,Commodity,Paper and wood waste for treatment: composting and land application,95892956.9328225
EU,Commodity,Food waste for treatment: waste water treatment,9352167654.394426
EU,Commodity,Other waste for treatment: waste water treatment,15414262840.52427
EU,Commodity,Food waste for treatment: landfill,13544919460.388874
EU,Commodity,Paper for treatment: landfill,9567201795.061932
EU,Commodity,Plastic waste for treatment: landfill,2016821239.4280722
EU,Commodity,Inert/metal/hazardous waste for treatment: landfill,18252580106.985718
EU,Commodity,Textiles waste for treatment: landfill,1753926268.7117584
EU,Commodity,Wood waste for treatment: landfill,3312349098.4167013
EU,Commodity,Membership organisation services n.e.c. (91),226503141435.68005
EU,Commodity,"Recreational, cultural and sporting services (92)",510934523386.4825
EU,Commodity,Other services (93),169785449427.8159
EU,Commodity,Private households with employed persons (95),82568546588.23593
EU,Commodity,Extra-territorial organizations and bodies,0.0
RoW,Commodity,Paddy rice,246888158497.37543
RoW,Commodity,Wheat,134158400713.37488
RoW,Commodity,Cereal grains nec,209026648926.04593
RoW,Commodity,"Vegetables, fruit, nuts",720244770013.4982
RoW,Commodity,Oil seeds,114146566924.45697
RoW,Commodity,"Sugar cane, sugar beet",65963323124.76701
RoW,Commodity,Plant-based fibers,92377822935.69965
RoW,Commodity,Crops nec,308547257864.6714
RoW,Commodity,Cattle,114801109094.88766
RoW,Commodity,Pigs,192968667296.78772
RoW,Commodity,Poultry,163712872741.36288
RoW,Commodity,Meat animals nec,54459544695.99082
RoW,Commodity,Animal products nec,108519351527.12364
RoW,Commodity,Raw milk,215771963790.87558
RoW,Commodity,"Wool, silk-worm cocoons",10680666905.532303
RoW,Commodity,Manure (conventional treatment),0.0
RoW,Commodity,Manure (biogas treatment),0.0
RoW,Commodity,"Products of forestry, logging and related services (02)",189513141156.8478
RoW,Commodity,Fish and other fishing products; services incidental of fishing (05),449671340758.02985
RoW,Commodity,Anthracite,8351215668.366407
RoW,Commodity,Coking Coal,61052629817.35144
RoW,Commodity,Other Bituminous Coal,275770317500.905
RoW,Commodity,Sub-Bituminous Coal,5256576167.747728
RoW,Commodity,Patent Fuel,912565905.5001634
RoW,Commodity,Lignite/Brown Coal,5611825753.201174
RoW,Commodity,BKB/Peat Briquettes,876739745.2665792
RoW,Commodity,Peat,458551895.7696392
RoW,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",498114766527.35034
RoW,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",97121803753.51962
RoW,Commodity,Natural Gas Liquids,13910934806.799578
RoW,Commodity,Other Hydrocarbons,15621330741.334301
RoW,Commodity,Uranium and thorium ores (12),14243085740.046158
RoW,Commodity,Iron ores,88120742680.41542
RoW,Commodity,Copper ores and concentrates,79310463537.4705
RoW,Commodity,Nickel ores and concentrates,19557109971.826023
RoW,Commodity,Aluminium ores and concentrates,8109481784.071566
RoW,Commodity,Precious metal ores and concentrates,72997725307.0969
RoW,Commodity,"Lead, zinc and tin ores and concentrates",21401269815.34074
RoW,Commodity,Other non-ferrous metal ores and concentrates,67367146386.9183
RoW,Commodity,Stone,49014328663.38146
RoW,Commodity,Sand and clay,96124511762.86739
RoW,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",37024591159.765656
RoW,Commodity,Products of meat cattle,87753396938.61111
RoW,Commodity,Products of meat pigs,67147307997.17346
RoW,Commodity,Products of meat poultry,71598107319.78418
RoW,Commodity,Meat products nec,153775723382.1082
RoW,Commodity,products of Vegetable oils and fats,173169241484.13962
RoW,Commodity,Dairy products,141153322340.52234
RoW,Commodity,Processed rice,167669103515.95917
RoW,Commodity,Sugar,79612681179.8932
RoW,Commodity,Food products nec,1467120607499.317
RoW,Commodity,Beverages,308793041031.79285
RoW,Commodity,Fish products,654643310407.7352
RoW,Commodity,Tobacco products (16),114040216149.44955
RoW,Commodity,Textiles (17),1353432338600.5684
RoW,Commodity,Wearing apparel; furs (18),743727326354.1735
RoW,Commodity,Leather and leather products (19),314613573505.738
RoW,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),196927109487.6804
RoW,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
RoW,Commodity,Pulp,47030568388.33896
RoW,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
RoW,Commodity,Paper and paper products,534200130999.97473
RoW,Commodity,Printed matter and recorded media (22),581241967745.3976
RoW,Commodity,Coke Oven Coke,106822672085.35883
RoW,Commodity,Gas Coke,868487632.5822308
RoW,Commodity,Coal Tar,11482255442.809423
RoW,Commodity,Motor Gasoline,536078553666.057
RoW,Commodity,Aviation Gasoline,897891885.0122697
RoW,Commodity,Gasoline Type Jet Fuel,368633797.60140944
RoW,Commodity,Kerosene Type Jet Fuel,61983061336.81819
RoW,Commodity,Kerosene,65551647874.01276
RoW,Commodity,Gas/Diesel Oil,512157547009.6114
RoW,Commodity,Heavy Fuel Oil,94420497641.75891
RoW,Commodity,Refinery Gas,4278487739.1872935
RoW,Commodity,Liquefied Petroleum Gases (LPG),120405109472.79085
RoW,Commodity,Refinery Feedstocks,10982554536.34517
RoW,Commodity,Ethane,1381952785.9540863
RoW,Commodity,Naphtha,159982839773.54068
RoW,Commodity,White Spirit & SBP,6192040790.204496
RoW,Commodity,Lubricants,35120194132.2166
RoW,Commodity,Bitumen,15889418304.507446
RoW,Commodity,Paraffin Waxes,13312162613.23538
RoW,Commodity,Petroleum Coke,6543678844.35146
RoW,Commodity,Non-specified Petroleum Products,21083521633.568233
RoW,Commodity,Nuclear fuel,8042702334.071951
RoW,Commodity,"Plastics, basic",316708843667.121
RoW,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
RoW,Commodity,N-fertiliser,5069882309.939276
RoW,Commodity,P- and other fertiliser,130835914214.34265
RoW,Commodity,Chemicals nec,2681107521696.88
RoW,Commodity,Charcoal,3331340344.7811503
RoW,Commodity,Additives/Blending Components,15519764110.922878
RoW,Commodity,Biogasoline,4285877670.8670764
RoW,Commodity,Biodiesels,1713585958.3716173
RoW,Commodity,Other Liquid Biofuels,584293302.4474984
RoW,Commodity,Rubber and plastic products (25),1425418144826.633
RoW,Commodity,Glass and glass products,436424891888.89923
RoW,Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
RoW,Commodity,Ceramic goods,414227710020.3991
RoW,Commodity,"Bricks, tiles and construction products, in baked clay",21211718069.50447
RoW,Commodity,"Cement, lime and plaster",219455923030.45837
RoW,Commodity,"Ash for treatment, Re-processing of ash into clinker",0.0
RoW,Commodity,Other non-metallic mineral products,378564091555.9685
RoW,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,2150687927347.3025
RoW,Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
RoW,Commodity,Precious metals,140679946641.9247
RoW,Commodity,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
RoW,Commodity,Aluminium and aluminium products,352850262595.05426
RoW,Commodity,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
RoW,Commodity,"Lead, zinc and tin and products thereof",91907046685.56767
RoW,Commodity,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
RoW,Commodity,Copper products,258388230596.88257
RoW,Commodity,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
RoW,Commodity,Other non-ferrous metal products,149053997746.64923
RoW,Commodity,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
RoW,Commodity,Foundry work services,193136663302.6593
RoW,Commodity,"Fabricated metal products, except machinery and equipment (28)",1311184444052.5898
RoW,Commodity,Machinery and equipment n.e.c. (29),2677831643410.43
RoW,Commodity,Office machinery and computers (30),863042258936.3748
RoW,Commodity,Electrical machinery and apparatus n.e.c. (31),1794334403874.6572
RoW,Commodity,"Radio, television and communication equipment and apparatus (32)",1679112859665.8057
RoW,Commodity,"Medical, precision and optical instruments, watches and clocks (33)",507165877004.8531
RoW,Commodity,"Motor vehicles, trailers and semi-trailers (34)",2100783184534.3545
RoW,Commodity,Other transport equipment (35),862823907966.9932
RoW,Commodity,Furniture; other manufactured goods n.e.c. (36),1032404389134.8071
RoW,Commodity,Secondary raw materials,109813197004.71658
RoW,Commodity,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
RoW,Commodity,Electricity by coal,396387750073.67255
RoW,Commodity,Electricity by gas,129681055655.42355
RoW,Commodity,Electricity by nuclear,80105781438.55197
RoW,Commodity,Electricity by hydro,105131285242.89682
RoW,Commodity,Electricity by wind,3534897169.9132404
RoW,Commodity,Electricity by petroleum and other oil derivatives,37726620496.71903
RoW,Commodity,Electricity by biomass and waste,7344922520.017836
RoW,Commodity,Electricity by solar photovoltaic,540161912.5031542
RoW,Commodity,Electricity by solar thermal,573865.8441961359
RoW,Commodity,"Electricity by tide, wave, ocean",25985554.31164457
RoW,Commodity,Electricity by Geothermal,2330773939.254631
RoW,Commodity,Electricity nec,5413432463.303327
RoW,Commodity,Transmission services of electricity,110316725653.89021
RoW,Commodity,Distribution and trade services of electricity,340177211978.35767
RoW,Commodity,Coke oven gas,4476576695.101004
RoW,Commodity,Blast Furnace Gas,7307971697.114004
RoW,Commodity,Oxygen Steel Furnace Gas,597900017.9484609
RoW,Commodity,Gas Works Gas,833986871.4947551
RoW,Commodity,Biogas,4132180706.644064
RoW,Commodity,Distribution services of gaseous fuels through mains,132279415926.56476
RoW,Commodity,Steam and hot water supply services,14178656077.91099
RoW,Commodity,"Collected and purified water, distribution services of water (41)",162118483286.09912
RoW,Commodity,Construction work (45),6885869753314.583
RoW,Commodity,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
RoW,Commodity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",881308510618.6636
RoW,Commodity,Retail trade services of motor fuel,31693915774.59324
RoW,Commodity,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1765450639137.1687
RoW,Commodity,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",1200709857032.3892
RoW,Commodity,Hotel and restaurant services (55),2687430856902.628
RoW,Commodity,Railway transportation services,390297987778.07117
RoW,Commodity,Other land transportation services,1518980859739.5881
RoW,Commodity,Transportation services via pipelines,37467846398.9272
RoW,Commodity,Sea and coastal water transportation services,334218636836.6234
RoW,Commodity,Inland water transportation services,19687062426.86596
RoW,Commodity,Air transport services (62),408902787022.6893
RoW,Commodity,Supporting and auxiliary transport services; travel agency services (63),1214451650277.5781
RoW,Commodity,Post and telecommunication services (64),972093022257.2344
RoW,Commodity,"Financial intermediation services, except insurance and pension funding services (65)",1875786760908.523
RoW,Commodity,"Insurance and pension funding services, except compulsory social security services (66)",924954215158.19
RoW,Commodity,Services auxiliary to financial intermediation (67),687166910061.5349
RoW,Commodity,Real estate services (70),3529949624729.2256
RoW,Commodity,Renting services of machinery and equipment without operator and of personal and household goods (71),549830555834.7983
RoW,Commodity,Computer and related services (72),1478526378662.566
RoW,Commodity,Research and development services (73),491921065925.92285
RoW,Commodity,Other business services (74),3100142290081.088
RoW,Commodity,Public administration and defence services; compulsory social security services (75),3568445181433.401
RoW,Commodity,Education services (80),2429196383072.0366
RoW,Commodity,Health and social work services (85),2969281599700.219
RoW,Commodity,Food waste for treatment: incineration,28662266320.63001
RoW,Commodity,Paper waste for treatment: incineration,28959100807.385887
RoW,Commodity,Plastic waste for treatment: incineration,7900617216.576444
RoW,Commodity,Intert/metal waste for treatment: incineration,7271663513.770468
RoW,Commodity,Textiles waste for treatment: incineration,6980611243.353195
RoW,Commodity,Wood waste for treatment: incineration,8246623217.826021
RoW,Commodity,Oil/hazardous waste for treatment: incineration,8906357839.778511
RoW,Commodity,Food waste for treatment: biogasification and land application,4182874550.9195185
RoW,Commodity,Paper waste for treatment: biogasification and land application,817623568.0046906
RoW,Commodity,Sewage sludge for treatment: biogasification and land application,5980251206.907368
RoW,Commodity,Food waste for treatment: composting and land application,16896932739.745676
RoW,Commodity,Paper and wood waste for treatment: composting and land application,2468645140.315982
RoW,Commodity,Food waste for treatment: waste water treatment,103643137600.34781
RoW,Commodity,Other waste for treatment: waste water treatment,188155037207.10645
RoW,Commodity,Food waste for treatment: landfill,64156224834.73001
RoW,Commodity,Paper for treatment: landfill,33831654070.536686
RoW,Commodity,Plastic waste for treatment: landfill,21908653241.19919
RoW,Commodity,Inert/metal/hazardous waste for treatment: landfill,29843517143.302498
RoW,Commodity,Textiles waste for treatment: landfill,9369430263.392971
RoW,Commodity,Wood waste for treatment: landfill,11024710858.835304
RoW,Commodity,Membership organisation services n.e.c. (91),416140673319.00775
RoW,Commodity,"Recreational, cultural and sporting services (92)",894138472579.2427
RoW,Commodity,Other services (93),930781244774.9429
RoW,Commodity,Private households with employed persons (95),174490594570.1872
RoW,Commodity,Extra-territorial organizations and bodies,0.0
USA,Commodity,Paddy rice,6272026165.545579
USA,Commodity,Wheat,14331756908.76176
USA,Commodity,Cereal grains nec,44436686085.470566
USA,Commodity,"Vegetables, fruit, nuts",89422726695.14185
USA,Commodity,Oil seeds,29438619273.328945
USA,Commodity,"Sugar cane, sugar beet",3235819892.006913
USA,Commodity,Plant-based fibers,6898373163.391136
USA,Commodity,Crops nec,44868384752.19824
USA,Commodity,Cattle,52690393741.32023
USA,Commodity,Pigs,21281917136.076797
USA,Commodity,Poultry,37356256154.75561
USA,Commodity,Meat animals nec,296793037.44106984
USA,Commodity,Animal products nec,10342436831.83761
USA,Commodity,Raw milk,36281857076.33339
USA,Commodity,"Wool, silk-worm cocoons",21823183.926676754
USA,Commodity,Manure (conventional treatment),0.0
USA,Commodity,Manure (biogas treatment),0.0
USA,Commodity,"Products of forestry, logging and related services (02)",70468378848.17865
USA,Commodity,Fish and other fishing products; services incidental of fishing (05),6070893404.271406
USA,Commodity,Anthracite,705814874.4311104
USA,Commodity,Coking Coal,863770922.8860395
USA,Commodity,Other Bituminous Coal,56958789866.89718
USA,Commodity,Sub-Bituminous Coal,3138104437.4184136
USA,Commodity,Patent Fuel,2894682.472517364
USA,Commodity,Lignite/Brown Coal,1699252651.5384119
USA,Commodity,BKB/Peat Briquettes,0.0
USA,Commodity,Peat,0.0
USA,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",145386289895.7895
USA,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",76497210139.97337
USA,Commodity,Natural Gas Liquids,32591021474.3032
USA,Commodity,Other Hydrocarbons,15412452237.790157
USA,Commodity,Uranium and thorium ores (12),1301579162.933568
USA,Commodity,Iron ores,16485190332.658047
USA,Commodity,Copper ores and concentrates,5851207334.778237
USA,Commodity,Nickel ores and concentrates,0.0
USA,Commodity,Aluminium ores and concentrates,151729138.88803312
USA,Commodity,Precious metal ores and concentrates,5243596235.172942
USA,Commodity,"Lead, zinc and tin ores and concentrates",847764239.786767
USA,Commodity,Other non-ferrous metal ores and concentrates,390536814.3721244
USA,Commodity,Stone,21686225700.929344
USA,Commodity,Sand and clay,18580461582.68
USA,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",5295927169.683138
USA,Commodity,Products of meat cattle,60264234134.70548
USA,Commodity,Products of meat pigs,49785044112.20798
USA,Commodity,Products of meat poultry,63159439723.49046
USA,Commodity,Meat products nec,33921354973.76664
USA,Commodity,products of Vegetable oils and fats,34947322979.8193
USA,Commodity,Dairy products,102480300294.40195
USA,Commodity,Processed rice,2187867419.2254395
USA,Commodity,Sugar,12127394911.571268
USA,Commodity,Food products nec,397248085383.39465
USA,Commodity,Beverages,121967274656.33504
USA,Commodity,Fish products,16960735955.592987
USA,Commodity,Tobacco products (16),65959319918.445435
USA,Commodity,Textiles (17),103484913650.71234
USA,Commodity,Wearing apparel; furs (18),62130322640.25629
USA,Commodity,Leather and leather products (19),11908428865.650953
USA,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),130926069383.01343
USA,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
USA,Commodity,Pulp,13040918035.767714
USA,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
USA,Commodity,Paper and paper products,214992370648.8666
USA,Commodity,Printed matter and recorded media (22),176276574661.8772
USA,Commodity,Coke Oven Coke,311043298.6386648
USA,Commodity,Gas Coke,0.0
USA,Commodity,Coal Tar,2032110.8938869247
USA,Commodity,Motor Gasoline,225084597313.64484
USA,Commodity,Aviation Gasoline,292536429.3784036
USA,Commodity,Gasoline Type Jet Fuel,0.0
USA,Commodity,Kerosene Type Jet Fuel,34533763452.70168
USA,Commodity,Kerosene,1284311742.183741
USA,Commodity,Gas/Diesel Oil,141566608900.5751
USA,Commodity,Heavy Fuel Oil,17306586845.337334
USA,Commodity,Refinery Gas,885278376.018333
USA,Commodity,Liquefied Petroleum Gases (LPG),29250331131.992897
