,,,EU,EU,EU,EU,EU,EU,EU,RoW,RoW,RoW,RoW,RoW,RoW,RoW,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EU,Commodity,Manure (biogas treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,"Products of forestry, logging and related services (02)",7732564994.831095,257392073.78013965,79527667.0439753,2205672042.0478888,3672663438.725882,0.0,0.0,379438793.77758706,274002.80465690675,171098.81175544285,614159.9388639238,43077469.87907671,0.0,0.0,17163343.26331125,0.0,0.0,0.0,665659.2419779431,0.0,0.0
EU,Commodity,Fish and other fishing products; services incidental of fishing (05),10705066992.894703,750364.9569760956,9145687.992104534,983969.3473474932,76079590.05161856,0.0,0.0,458634617.2633275,50342.01679778578,4458.18747479025,7.937891031446893,2457338.5134233236,0.0,0.0,17577190.80612971,0.0,1237.864704126542,0.0,895273.8667611214,0.0,0.0
EU,Commodity,Anthracite,48156812.75467979,0.0,144671.57258903087,4138169.5489348043,48359696.82322413,0.0,0.0,419304.44179785036,1.1321196394796975,19787.481399586475,0.0,218.43628343064503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Coking Coal,9134.174396250432,40876.82275658978,5293.5011726676685,2761327.131691938,26781712.778824057,0.0,0.0,28335.71017858744,0.9217026462581979,90.63007078345332,5103.233602860309,510.98426757212627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Other Bituminous Coal,4393937990.512947,108595788.57430112,11298133.114783634,2528254.7160203727,62215893.85026362,0.0,0.0,4303630.595129785,78.81678726328396,3040.464716279196,17042.729198089008,735112.9718024493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Sub-Bituminous Coal,0.0,0.0,8152964.945668989,60814560.134599745,1846334.5080024912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Patent Fuel,6720162.181185329,0.0,0.0,1277610.877588812,3110382.2980415407,0.0,0.0,19853.207421135474,0.3612681257625914,268.3743624329962,0.03726657650326721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Lignite/Brown Coal,226265311.4209477,253636.69229695204,7899464.331961392,9061827.94770219,99352934.08915903,0.0,0.0,1142.179473284423,0.0,1604.5864523847274,1479.424252420392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,BKB/Peat Briquettes,514853471.66399735,0.0,24505.3572863446,1246014.3270697219,149837886.07885343,0.0,0.0,18452117.602096245,5474.768895830721,93521.92602124451,10352.866484159069,380.90003253617135,0.0,0.0,43487.7912272482,550.7303141299608,200.64940339291954,0.0,5578.797754278697,0.0,0.0
EU,Commodity,Peat,1242046.9969741432,0.0,2264637.956605093,4835447.574956364,360090733.6329747,0.0,0.0,2657650.849693151,28.989504465270354,104471.61330789563,0.6697391551777668,948804.878519134,0.0,0.0,0.0,0.0,0.0,0.0,2760.736652461045,0.0,0.0
EU,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0,0.0,240682751.95217285,81275031.28293236,34075102.042825505,0.0,0.0,0.0,0.10157851670206677,9.045094858325312,5808114.54023812,57310.68091876441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",0.0,0.0,1278954.2541908822,1561970814.7360373,1785057663.2756512,0.0,0.0,147446133.26174083,943.8558665530397,286250.35111203813,72714325.43430848,1451324103.4564397,0.0,0.0,12872.323447391967,0.0,0.0,0.0,2358.462780336187,0.0,0.0
EU,Commodity,Natural Gas Liquids,0.0,0.0,3939.732150350834,274521360.19187677,2804105.301704652,0.0,0.0,0.0,3.991244518738376,0.2150188093970398,0.0016872962646451999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Other Hydrocarbons,0.0,0.0,1241144.0090313454,421241108.9178553,3480243.988409814,0.0,0.0,0.0,0.0,0.0,0.6162717381065327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Uranium and thorium ores (12),0.0,0.0,10318832.857915167,7164024.98215124,25900653.72407086,0.0,0.0,0.0,0.0,0.0,0.1430496211221515,0.0541510237778243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Iron ores,0.0,0.0,685293.4029628881,14860964.979081798,22302409.019623533,0.0,0.0,0.0,1.796778842083834,94.65142155597083,55657.393623914075,305010.6968184396,0.0,0.0,0.0,0.0,0.0,0.0,0.8663424915319478,0.0,0.0
EU,Commodity,Copper ores and concentrates,0.0,0.0,2336715.868550394,26936204.260554317,179525006.91321638,0.0,0.0,0.0,0.0070448691209257,123.10006962880156,0.0,283903446.73846906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Nickel ores and concentrates,0.0,0.0,328112.2982290299,9184684.548546445,312061.58599304635,0.0,0.0,0.0,0.0,18.84881215621208,0.0,2097272.9286643644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Aluminium ores and concentrates,0.0,0.0,85468.45947118556,100159.65492785997,25131362.18570096,0.0,0.0,0.0,0.0,630.6355281583145,5441.798166195128,82139.87277760963,0.0,0.0,0.0,0.0,0.0,0.0,1180.242732803216,0.0,0.0
EU,Commodity,Precious metal ores and concentrates,0.0,0.0,268272.376183643,5993876.947734637,10186721.043015826,0.0,0.0,0.0,0.0,0.0,0.0,214835.85476765857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,"Lead, zinc and tin ores and concentrates",0.0,0.0,1364662.9547029554,3503119.468827072,380672760.0222312,0.0,0.0,0.0,0.0,12.039775426940558,0.0,38233620.181174226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Other non-ferrous metal ores and concentrates,0.0,0.0,251097.0653977596,370816.9512240804,41022206.86369392,0.0,0.0,0.0,0.1887220606412966,54.87127998354285,3683.4229367573143,11694408.791922055,0.0,0.0,0.0,0.0,0.0,0.0,158605.86984598835,0.0,0.0
EU,Commodity,Stone,0.0,0.0,3175379.6227758797,1553902270.4869373,566569715.7827197,0.0,0.0,149053.508266585,92.63489825986906,288.32783892712234,4777.043598240068,8289227.852141964,0.0,0.0,0.0,0.0,0.0,0.0,46964.11376179955,0.0,0.0
EU,Commodity,Sand and clay,0.0,0.0,7911399.361899882,123615100.5869135,896631527.8476346,0.0,0.0,425638.0774565902,81.20085247402031,114.0556340049261,234582.3716070622,1764976.088102336,0.0,0.0,0.0,0.0,0.0,0.0,919526.3267482152,0.0,0.0
EU,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",402795297.4232248,0.0,2178905.543661032,22224336.036013503,155468544.49464914,0.0,0.0,20216747.337711062,250.74624036091927,1147.337907617506,342248.6654536952,12036969.739504807,0.0,0.0,49460.96595864242,0.0,0.0,0.0,11108.282122428936,0.0,0.0
EU,Commodity,Products of meat cattle,26346695358.556686,57038137.946441464,12436434.025632784,222054.75740431185,382786181.4777714,0.0,0.0,4416349663.536705,3467.5889737255857,883487.2022401323,0.0,11065286.954032158,0.0,0.0,244712.73163647423,0.0,0.0,0.0,3300.4313109958957,0.0,0.0
EU,Commodity,Products of meat pigs,29393272411.846004,104517319.34942354,26658391.853741128,223124.20737922392,333810319.6979813,0.0,0.0,4382519478.44431,24092.08999896566,85429.30663286847,0.0,66682770.984578155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Products of meat poultry,51088767401.478386,188242631.9273371,3990532.528323863,224045.9924488503,279224446.6362894,0.0,0.0,3250865494.5806756,5255.213293259848,38285.77452801576,0.0,6706336.697595389,0.0,0.0,3232449.994125437,0.0,0.0,0.0,28589.34812238038,0.0,0.0
EU,Commodity,Meat products nec,84436811989.35873,169374388.35992262,52737309.15316885,123243.10754197314,1433228688.5447125,0.0,0.0,5612576937.901547,186081.95207773588,436925.2482918085,0.0,22666122.435125526,0.0,0.0,27935920.467648562,0.0,0.0,0.0,1322816.972104779,0.0,0.0
EU,Commodity,products of Vegetable oils and fats,4993313498.074026,6674160.577607396,9715984.069436427,225200.9069292217,243561018.95292923,0.0,0.0,2426647968.169551,12.078492265775875,17502.064660739663,0.0,27618797.314529378,0.0,0.0,31844717.936459344,0.0,0.0,0.0,311928.4156674097,0.0,0.0
EU,Commodity,Dairy products,98977338151.88249,174621984.36711162,71784585.91954333,222930.48321796747,1098754876.7019274,0.0,0.0,16929670409.500439,140788.69395366785,513259.14443747554,0.0,39657768.68919357,0.0,0.0,49417940.095840156,0.0,0.0,0.0,1293255.7632175153,0.0,0.0
EU,Commodity,Processed rice,1270617244.532945,2049623.6236986837,28971272.234859575,225872.07524859114,21068350.601318818,0.0,0.0,259620108.46170902,4030.164113851788,2098475.777933259,0.0,1015658.9847663968,0.0,0.0,626244.8562735473,0.0,0.0,0.0,430.8287602252384,0.0,0.0
EU,Commodity,Sugar,8562315397.571938,20735902.64492476,8284956.050189739,225194.43857422593,84116381.77188838,0.0,0.0,1486331320.05888,62.90607927695267,50683.005488192844,0.0,4973126.496831249,0.0,0.0,4088614.8577323756,0.0,0.0,0.0,320110.08711340826,0.0,0.0
EU,Commodity,Food products nec,286011573144.51697,578912651.4086374,715060209.9679993,223897.57802591586,3250286332.707561,0.0,0.0,65512051264.653946,1434551.0215106925,128419517.06194542,0.0,201773533.1783429,0.0,0.0,3137264214.996024,0.0,0.0,0.0,73695387.64111477,0.0,0.0
EU,Commodity,Beverages,49474668094.03087,36088751.47919443,38538120.7833475,223361.18428355368,1154622588.365666,0.0,0.0,26025541121.53749,64348.18058725906,982832.5586147349,0.0,201195148.12976617,0.0,0.0,1076257943.3537853,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Fish products,10384945530.188292,98327445.91870208,104115050.62666158,225745.6697772869,133938110.92036177,0.0,0.0,5599099957.481169,18987.563126050452,232444.79150699778,0.0,21237850.537066337,0.0,0.0,200507957.77236035,0.0,0.0,0.0,2123251.4032612094,0.0,0.0
EU,Commodity,Tobacco products (16),14818217177.11402,11402002.761687087,23465635.91211143,341822.94798479066,1279453823.6421711,0.0,0.0,4336380492.123711,6.664904536590642,0.0,0.0,17159141.771099668,0.0,0.0,111987382.02035788,0.0,0.0,0.0,1066344.9983183562,0.0,0.0
EU,Commodity,Textiles (17),46175603270.07478,202158173.73333597,137406356.9209261,1767967712.825205,734296802.7730862,0.0,0.0,14915643381.408432,5013316.868839016,5161562.092216825,419625986.140505,1372569557.5141535,0.0,0.0,774058496.9197448,0.0,863835.8353044238,0.0,34383236.381217755,0.0,0.0
EU,Commodity,Wearing apparel; furs (18),78855551441.38556,443668512.7755362,182961179.68435627,41957652.95072968,1417853328.1504405,0.0,0.0,25036963759.47869,429977.7023377752,72101228.79472062,38476733.373258635,46548158.725425035,0.0,0.0,2143901386.6079957,0.0,1385922.9571712203,0.0,0.0,0.0,0.0
EU,Commodity,Leather and leather products (19),20377425871.251923,53230967.80588723,117875146.80542755,113918397.9819578,1633807050.9602687,0.0,0.0,13735226344.557468,5369956.587631672,5359285.213281146,5887203.984475734,55277678.075850375,0.0,0.0,802322032.1901624,0.0,524443.2872163681,0.0,1036424.0456091431,0.0,0.0
EU,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),16576086229.52383,0.0,217259.78444337344,7825416187.898048,2184890372.18836,0.0,0.0,1985590571.0315773,12711.995701032356,280702.34352343023,1528147230.666377,244197739.71662635,0.0,0.0,9430444.185272262,0.0,0.0,69611370.06572531,12011277.68193835,0.0,0.0
EU,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Pulp,0.0,0.0,486311931.16391766,3.769215288873436,2608858849.581102,0.0,0.0,0.0,10787980.196789742,16589364.600176407,55155.293520399806,64882172.23307425,0.0,0.0,0.0,0.0,0.0,0.0,14890833.445954533,0.0,0.0
EU,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Paper and paper products,15443319562.76009,0.0,321782446.2668884,12277.206239745465,1442470393.5184715,0.0,0.0,10139862942.151129,32148071.238110922,28385352.069850855,0.0,80330049.84782024,0.0,0.0,663637567.913935,0.0,0.0,0.0,127757087.20580164,0.0,0.0
EU,Commodity,Printed matter and recorded media (22),55814006639.61521,442835555.90510267,1774398820.202379,31710209660.289417,1559292372.3421333,0.0,0.0,3423401892.1464076,12003195.027017346,20667252.790424827,190816020.34803784,19773562.10664629,0.0,0.0,179439462.6801678,0.0,0.0,1488493.826405639,1919021.768361994,0.0,0.0
EU,Commodity,Coke Oven Coke,348164906.4803351,567535.2263556833,1219611.881332216,0.0,192223408.82040346,0.0,0.0,52536255.86481446,6.114893762945634,8446.79561718835,0.0,105218624.9122336,0.0,0.0,0.0,0.0,0.0,0.0,22746.69316374326,0.0,0.0
EU,Commodity,Gas Coke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Coal Tar,0.0,0.0,0.0,0.0,3413259.37846317,0.0,0.0,5058.2140363190565,0.0,0.0,0.0,560.3598425110654,0.0,0.0,0.0,0.0,0.0,0.0,2.9208915256298984,0.0,0.0
EU,Commodity,Motor Gasoline,82335320187.84978,21231916.766678054,29128629.172937185,0.0,1197855757.5580845,0.0,0.0,24134591410.29557,7160595.6013469985,6762106.3736980725,0.0,129532955.3443492,0.0,0.0,267714294.52604142,0.0,1684081.676022213,0.0,8872169.301685544,0.0,0.0
EU,Commodity,Aviation Gasoline,7938550.469002294,38487.66411925325,26666.254196672253,0.0,2198883.1091506225,0.0,0.0,1400130.3327578036,6.4398591177740805,62385.48485183241,0.0,57471.74272556126,0.0,0.0,0.0206077339370776,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Gasoline Type Jet Fuel,1017761.8956550052,0.0,5912.74188227526,0.0,189083.82976297458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Kerosene Type Jet Fuel,790835425.6304722,4105837.707634972,7144537.932076437,0.0,239491337.29300994,0.0,0.0,94930007.1789028,10380.982995799055,103640.0181262347,0.0,5474197.37466665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Kerosene,1060432538.2258825,0.0,0.0,0.0,37461418.74777763,0.0,0.0,138423845.09242275,0.0,0.0,0.0,137517.45195976755,0.0,0.0,0.0079019931602161,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Gas/Diesel Oil,37795315508.12154,44666711.205716096,51060902.26216594,0.0,2661996028.1470547,0.0,0.0,7458264868.001736,11424032.093661776,15970921.931111636,0.0,124821660.00654043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Heavy Fuel Oil,328564561.93154913,61058.59893992751,1604289.148936589,0.0,647077060.3487302,0.0,0.0,910228607.2462169,0.0,36902.3231893365,0.0,225407391.86397362,0.0,0.0,1633263.7289288843,0.0,0.0,0.0,3360176.2336424766,0.0,0.0
EU,Commodity,Refinery Gas,0.2303237401228623,0.0,0.0,0.0,7930493.1755941175,0.0,0.0,17058.373087134496,0.0,0.0,0.0,1106.7023082750538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Liquefied Petroleum Gases (LPG),2334471138.6071296,5989810.64294319,8432936.358736932,0.0,283357165.53768826,0.0,0.0,784024756.593977,227312.26786189497,309004.26518492965,0.0,3511132.4454397797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Refinery Feedstocks,0.0,0.0,0.0,0.0,95138161.58786213,0.0,0.0,15301.992844024928,0.0,0.0,0.0,1056661.2886042371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Ethane,0.0,0.0,0.0,0.0,4944262.853957173,0.0,0.0,18.743561228565042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Naphtha,0.0,0.0,0.0,0.0,591339887.2914206,0.0,0.0,500513317.5295762,0.0,0.0,0.0,107603294.61978889,0.0,0.0,0.0,0.0,0.0,0.0,14218567.656504141,0.0,0.0
EU,Commodity,White Spirit & SBP,0.0,0.0,0.0,0.0,91288966.31363793,0.0,0.0,681433.7064699018,0.0,0.0,0.0,11760291.146188254,0.0,0.0,0.0,0.0,0.0,0.0,159324.85678188686,0.0,0.0
EU,Commodity,Lubricants,0.0,0.0,0.0,0.0,91996416.13827759,0.0,0.0,2795830.4297687626,0.0,0.0,0.0,287518.2006934818,0.0,0.0,0.0,0.0,0.0,0.0,27782.300678131116,0.0,0.0
EU,Commodity,Bitumen,0.0,0.0,0.0,0.0,191463005.05822012,0.0,0.0,1862694.5763484736,0.0,0.0,0.0,111792973.89001969,0.0,0.0,0.0,0.0,0.0,0.0,5483.5759892145825,0.0,0.0
EU,Commodity,Paraffin Waxes,0.4945739318038527,0.0,0.0,0.0,20061583.43355475,0.0,0.0,467248.8039925002,0.0,0.0,0.0,1027014.5042341496,0.0,0.0,0.0,0.0,0.0,0.0,409038.71227671066,0.0,0.0
EU,Commodity,Petroleum Coke,1342567.609767408,0.0,0.0,0.0,18855077.690172393,0.0,0.0,20897389.605209652,0.0,0.0,0.0,4598896.616244261,0.0,0.0,0.0,0.0,0.0,0.0,66266.49542445022,0.0,0.0
EU,Commodity,Non-specified Petroleum Products,0.04638170582307024,0.0,0.0,0.0,31306498.986081176,0.0,0.0,2355645.044089972,0.0,10578.863327001824,0.0,22209369.405540347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Nuclear fuel,0.0,6657.375623992206,1254993.2306137723,0.0826163055673426,1399616036.189759,0.0,0.0,0.0,221906.8333078145,16961255.24148159,6989555.554827806,515431947.720875,0.0,0.0,0.0,0.0,90444.32366875526,0.0,76033426.6171492,0.0,0.0
EU,Commodity,"Plastics, basic",0.0,258153983.89261094,124412853306.56808,5350772.14510511,13934768416.99792,0.0,0.0,1423520.1258899465,50445640.181430906,996878179.2563866,2418152.4026402635,159660922.32065716,0.0,0.0,0.0,0.0,187779102.0355227,0.0,159338881.307353,0.0,0.0
EU,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,N-fertiliser,59606242.271715485,136066.0933536092,33888081.5992979,3619339.068442364,7338015.022774919,0.0,0.0,20336223.997637548,0.0,91220.76829143698,568176.5147504491,32207.660274924776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,P- and other fertiliser,706340989.02192,16845006.43250581,163132316.7330888,1362759.6601259694,157359093.7527301,0.0,0.0,118483921.03901644,25.37465668683825,1268954.1633892152,2699068.4860251346,9378207.879046405,0.0,0.0,2979.4881495550485,0.0,75.33242700755751,0.0,12944.64411236562,0.0,0.0
EU,Commodity,Chemicals nec,20329292247.732487,36957135.24506855,5842267081.071191,142009630.6336501,1789268788.3811674,0.0,0.0,47827870182.629524,55942823.462949865,644326942.161262,174805159.3853846,212461156.43171722,0.0,0.0,1386689472.3567526,0.0,8201436.861747015,0.0,32704964.32997682,0.0,0.0
EU,Commodity,Charcoal,7861959.063462522,2393.327025142801,2628908.997875452,4096936.5469021546,505001.21674145723,0.0,0.0,466805.08840351785,0.0,876.7675280095091,0.0,0.0,0.0,0.0,0.0011417983233216,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Additives/Blending Components,15402812.94912938,7306.561219555532,1309339.4672011624,848538.6810281326,3161097.5595443924,0.0,0.0,25392685.057552148,4301.082841384756,7712019.133830729,22162.6428742506,25272.387471064598,0.0,0.0,0.0154414966186241,0.0,0.0,0.0,0.0,0.0,0.0
EU,Commodity,Biogasoline,605912779.9434212,256196.7781465939,9669109.971063616,12516885.531498598,2009710.7369934786,0.0,0.0,2499515.2722749105,995.4112775949737,8427.195525723348,565.578737753763,297803.83396346244,0.0,0.0,129969.78995641321,0.0,81.81871485718158,0.0,765.5040597673957,0.0,0.0
EU,Commodity,Biodiesels,498565809.6929763,151590.0492803762,43238275.682837,6735355.432941123,9376729.40032971,0.0,0.0,1140186.8069760012,509.03287346420154,150876.10739263997,155239.72120778944,98302.66589796572,0.0,0.0,523103.5294764016,0.0,2467.447096566966,0.0,12353.746864772715,0.0,0.0
EU,Commodity,Other Liquid Biofuels,217354302.28095603,289.16608411996503,20738785.256256234,7326492.327166814,1794403.869640481,0.0,0.0,13643.400395674784,0.0,446.05284674491776,54041.55464613751,14.275114550260325,0.0,0.0,30980.85413490696,0.0,49.196144222769064,0.0,30.285932528928,0.0,0.0
EU,Commodity,Rubber and plastic products (25),38124494023.6655,0.0,42279201.9041977,3553876876.0963473,2470083659.397438,0.0,0.0,11151995282.612425,1258352.0286823981,56935669.920044616,838236604.0082916,439156154.7318234,0.0,0.0,1224193909.2088158,0.0,398277.1504209858,0.0,34070488.807325184,0.0,0.0
EU,Commodity,Glass and glass products,0.0,0.0,0.0,265299838.31575167,506841309.30166274,0.0,0.0,825639275.2642537,5999.59236921772,15111.15365354685,39588806.35352656,49614550.58573825,0.0,0.0,0.0,0.0,0.0,0.0,20096863.599122513,0.0,0.0
