,Level,,production
EU,Commodity,Supporting and auxiliary transport services; travel agency services (63),780108404181.1064
EU,Commodity,Post and telecommunication services (64),709149428050.7947
EU,Commodity,"Financial intermediation services, except insurance and pension funding services (65)",723639448072.1217
EU,Commodity,"Insurance and pension funding services, except compulsory social security services (66)",316624557082.4277
EU,Commodity,Services auxiliary to financial intermediation (67),253455413507.04648
EU,Commodity,Real estate services (70),1859942378512.1484
EU,Commodity,Renting services of machinery and equipment without operator and of personal and household goods (71),344037107493.3892
EU,Commodity,Computer and related services (72),499969402075.4048
EU,Commodity,Research and development services (73),203058863574.39752
EU,Commodity,Other business services (74),1979804171474.8828
EU,Commodity,Public administration and defence services; compulsory social security services (75),1109924366388.5571
EU,Commodity,Education services (80),817698880655.0619
EU,Commodity,Health and social work services (85),1313975907821.0962
EU,Commodity,Food waste for treatment: incineration,14293529748.307312
EU,Commodity,Paper waste for treatment: incineration,17297481459.42767
EU,Commodity,Plastic waste for treatment: incineration,14580126904.465633
EU,Commodity,Intert/metal waste for treatment: incineration,27438120252.215904
EU,Commodity,Textiles waste for treatment: incineration,3302150787.8812876
EU,Commodity,Wood waste for treatment: incineration,7698072789.987532
EU,Commodity,Oil/hazardous waste for treatment: incineration,18142954279.659107
EU,Commodity,Food waste for treatment: biogasification and land application,3565492403.9799786
EU,Commodity,Paper waste for treatment: biogasification and land application,437415947.3471223
EU,Commodity,Sewage sludge for treatment: biogasification and land application,15394043995.47816
EU,Commodity,Food waste for treatment: composting and land application,20187142768.963158
EU,Commodity,Paper and wood waste for treatment: composting and land application,95892956.9328224
EU,Commodity,Food waste for treatment: waste water treatment,9352167654.39443
EU,Commodity,Other waste for treatment: waste water treatment,15414262840.524218
EU,Commodity,Food waste for treatment: landfill,13544919460.388866
EU,Commodity,Paper for treatment: landfill,9567201795.06194
EU,Commodity,Plastic waste for treatment: landfill,2016821239.428072
EU,Commodity,Inert/metal/hazardous waste for treatment: landfill,18252580106.985737
EU,Commodity,Textiles waste for treatment: landfill,1753926268.7117553
EU,Commodity,Wood waste for treatment: landfill,3312349098.4167056
EU,Commodity,Membership organisation services n.e.c. (91),226503141435.68002
EU,Commodity,"Recreational, cultural and sporting services (92)",510934523386.48236
EU,Commodity,Other services (93),169785449427.81595
EU,Commodity,Private households with employed persons (95),82568546588.23598
EU,Commodity,Extra-territorial organizations and bodies,0.0
RoW,Commodity,Paddy rice,288545390071.0408
RoW,Commodity,Wheat,182902618674.6162
RoW,Commodity,Cereal grains nec,315956234602.98486
RoW,Commodity,"Vegetables, fruit, nuts",989096486976.824
RoW,Commodity,Oil seeds,177574511945.08276
RoW,Commodity,"Sugar cane, sugar beet",84702049339.17737
RoW,Commodity,Plant-based fibers,108668717639.07347
RoW,Commodity,Crops nec,474180843538.5011
RoW,Commodity,Cattle,228711849353.86862
RoW,Commodity,Pigs,266394247205.1042
RoW,Commodity,Poultry,261780984862.24695
RoW,Commodity,Meat animals nec,64637279356.92111
RoW,Commodity,Animal products nec,135084084409.47684
RoW,Commodity,Raw milk,308859669909.00934
RoW,Commodity,"Wool, silk-worm cocoons",12157793731.371582
RoW,Commodity,Manure (conventional treatment),0.0
RoW,Commodity,Manure (biogas treatment),0.0
RoW,Commodity,"Products of forestry, logging and related services (02)",300159992492.6009
RoW,Commodity,Fish and other fishing products; services incidental of fishing (05),517208569373.339
RoW,Commodity,Anthracite,9213927546.489534
RoW,Commodity,Coking Coal,64886977708.28512
RoW,Commodity,Other Bituminous Coal,343877073662.182
RoW,Commodity,Sub-Bituminous Coal,8394719429.319369
RoW,Commodity,Patent Fuel,1060238567.4708687
RoW,Commodity,Lignite/Brown Coal,7385256411.690515
RoW,Commodity,BKB/Peat Briquettes,1111458126.3436198
RoW,Commodity,Peat,583963080.4990801
RoW,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",1236597386347.1943
RoW,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",228010234557.26645
RoW,Commodity,Natural Gas Liquids,95152166960.18019
RoW,Commodity,Other Hydrocarbons,33627838001.495064
RoW,Commodity,Uranium and thorium ores (12),16453715009.943356
RoW,Commodity,Iron ores,126823077666.02255
RoW,Commodity,Copper ores and concentrates,113936685572.33057
RoW,Commodity,Nickel ores and concentrates,21879738727.22947
RoW,Commodity,Aluminium ores and concentrates,10568925919.578259
RoW,Commodity,Precious metal ores and concentrates,95625753829.27003
RoW,Commodity,"Lead, zinc and tin ores and concentrates",30977101677.43305
RoW,Commodity,Other non-ferrous metal ores and concentrates,82008574312.00893
RoW,Commodity,Stone,95293743638.12268
RoW,Commodity,Sand and clay,147133768861.86224
RoW,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",50946703758.61237
RoW,Commodity,Products of meat cattle,168803210351.33875
RoW,Commodity,Products of meat pigs,133213503393.87369
RoW,Commodity,Products of meat poultry,155829653212.5014
RoW,Commodity,Meat products nec,216640164685.17615
RoW,Commodity,products of Vegetable oils and fats,233122994764.44843
RoW,Commodity,Dairy products,281616687728.2588
RoW,Commodity,Processed rice,177949303624.35168
RoW,Commodity,Sugar,100105505766.57138
RoW,Commodity,Food products nec,2047641804088.1323
RoW,Commodity,Beverages,496163554756.2102
RoW,Commodity,Fish products,725061702712.4646
RoW,Commodity,Tobacco products (16),196957136599.79492
RoW,Commodity,Textiles (17),1509415948101.7905
RoW,Commodity,Wearing apparel; furs (18),871390357268.2021
RoW,Commodity,Leather and leather products (19),348219290544.2845
RoW,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),385723269100.6899
RoW,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
RoW,Commodity,Pulp,68335080127.50344
RoW,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
RoW,Commodity,Paper and paper products,807643146820.1362
RoW,Commodity,Printed matter and recorded media (22),841451590842.5483
RoW,Commodity,Coke Oven Coke,109886689994.67752
RoW,Commodity,Gas Coke,879399340.1328566
RoW,Commodity,Coal Tar,11563310057.390192
RoW,Commodity,Motor Gasoline,832834732588.41
RoW,Commodity,Aviation Gasoline,1340294932.869983
RoW,Commodity,Gasoline Type Jet Fuel,464004576.81803167
RoW,Commodity,Kerosene Type Jet Fuel,112020537939.56454
RoW,Commodity,Kerosene,75945253169.7022
RoW,Commodity,Gas/Diesel Oil,723684748267.264
RoW,Commodity,Heavy Fuel Oil,141290749901.85504
RoW,Commodity,Refinery Gas,5545197833.973083
RoW,Commodity,Liquefied Petroleum Gases (LPG),169916033518.00235
RoW,Commodity,Refinery Feedstocks,25001828033.510307
RoW,Commodity,Ethane,4106568080.505286
RoW,Commodity,Naphtha,170527647929.09937
RoW,Commodity,White Spirit & SBP,9489607343.962431
RoW,Commodity,Lubricants,51708945851.74287
RoW,Commodity,Bitumen,27128909292.545174
RoW,Commodity,Paraffin Waxes,13925829636.162943
RoW,Commodity,Petroleum Coke,10699445796.401419
RoW,Commodity,Non-specified Petroleum Products,23887453523.306232
RoW,Commodity,Nuclear fuel,9969798490.581758
RoW,Commodity,"Plastics, basic",387755250540.3524
RoW,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
RoW,Commodity,N-fertiliser,7237063114.465733
RoW,Commodity,P- and other fertiliser,163918437763.72546
RoW,Commodity,Chemicals nec,3672030918451.008
RoW,Commodity,Charcoal,4320385263.308322
RoW,Commodity,Additives/Blending Components,16453912483.723
RoW,Commodity,Biogasoline,9958079122.052656
RoW,Commodity,Biodiesels,3285836730.8711014
RoW,Commodity,Other Liquid Biofuels,1005555424.1267846
RoW,Commodity,Rubber and plastic products (25),1790615726682.1614
RoW,Commodity,Glass and glass products,494051193463.94855
RoW,Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
RoW,Commodity,Ceramic goods,435031892260.687
RoW,Commodity,"Bricks, tiles and construction products, in baked clay",35279089726.92597
RoW,Commodity,"Cement, lime and plaster",330978818076.9839
RoW,Commodity,"Ash for treatment, Re-processing of ash into clinker",0.0
RoW,Commodity,Other non-metallic mineral products,426083631971.03314
RoW,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,2371196953975.726
RoW,Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
RoW,Commodity,Precious metals,171095557154.6532
RoW,Commodity,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
RoW,Commodity,Aluminium and aluminium products,435705086200.1544
RoW,Commodity,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
RoW,Commodity,"Lead, zinc and tin and products thereof",98555226279.623
RoW,Commodity,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
RoW,Commodity,Copper products,323116792438.49677
RoW,Commodity,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
RoW,Commodity,Other non-ferrous metal products,169163588953.9768
RoW,Commodity,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
RoW,Commodity,Foundry work services,257231632510.84
RoW,Commodity,"Fabricated metal products, except machinery and equipment (28)",1854650488619.8765
RoW,Commodity,Machinery and equipment n.e.c. (29),3501683747666.8096
RoW,Commodity,Office machinery and computers (30),1044916051517.832
RoW,Commodity,Electrical machinery and apparatus n.e.c. (31),2064196910742.8682
RoW,Commodity,"Radio, television and communication equipment and apparatus (32)",2124295395681.4578
RoW,Commodity,"Medical, precision and optical instruments, watches and clocks (33)",860584558773.7795
RoW,Commodity,"Motor vehicles, trailers and semi-trailers (34)",3075867738630.8096
RoW,Commodity,Other transport equipment (35),1222163191946.125
RoW,Commodity,Furniture; other manufactured goods n.e.c. (36),1377837435519.7803
RoW,Commodity,Secondary raw materials,131787590624.50452
RoW,Commodity,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
RoW,Commodity,Electricity by coal,495596470879.0804
RoW,Commodity,Electricity by gas,225106431277.72745
RoW,Commodity,Electricity by nuclear,119956715093.14778
RoW,Commodity,Electricity by hydro,151081228965.2108
RoW,Commodity,Electricity by wind,6720736725.376086
RoW,Commodity,Electricity by petroleum and other oil derivatives,73581287500.77957
RoW,Commodity,Electricity by biomass and waste,11803028885.529488
RoW,Commodity,Electricity by solar photovoltaic,834706231.3819941
RoW,Commodity,Electricity by solar thermal,35349064.96026367
RoW,Commodity,"Electricity by tide, wave, ocean",56993418.24213617
RoW,Commodity,Electricity by Geothermal,3658530041.5002713
RoW,Commodity,Electricity nec,5991815686.203806
RoW,Commodity,Transmission services of electricity,156411099897.6922
RoW,Commodity,Distribution and trade services of electricity,539547465529.2025
RoW,Commodity,Coke oven gas,4963477241.818407
RoW,Commodity,Blast Furnace Gas,8140533925.353958
RoW,Commodity,Oxygen Steel Furnace Gas,833808268.225533
RoW,Commodity,Gas Works Gas,1306657345.403285
RoW,Commodity,Biogas,5623659659.308799
RoW,Commodity,Distribution services of gaseous fuels through mains,303449945541.3268
RoW,Commodity,Steam and hot water supply services,22816943285.279724
RoW,Commodity,"Collected and purified water, distribution services of water (41)",236108131215.6112
RoW,Commodity,Construction work (45),9666436801656.893
RoW,Commodity,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
RoW,Commodity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1863017253818.276
RoW,Commodity,Retail trade services of motor fuel,46339511676.133995
RoW,Commodity,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",3113723624040.8174
RoW,Commodity,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",1689171670708.6638
RoW,Commodity,Hotel and restaurant services (55),4654707998097.523
RoW,Commodity,Railway transportation services,538462014789.087
RoW,Commodity,Other land transportation services,2359533347415.1206
RoW,Commodity,Transportation services via pipelines,70351681518.03941
RoW,Commodity,Sea and coastal water transportation services,482655109831.2818
RoW,Commodity,Inland water transportation services,54703393018.79879
RoW,Commodity,Air transport services (62),758802293667.0066
RoW,Commodity,Supporting and auxiliary transport services; travel agency services (63),1750516526530.0361
RoW,Commodity,Post and telecommunication services (64),2940543785022.788
RoW,Commodity,"Financial intermediation services, except insurance and pension funding services (65)",2999541316820.0923
RoW,Commodity,"Insurance and pension funding services, except compulsory social security services (66)",1839561485563.3154
RoW,Commodity,Services auxiliary to financial intermediation (67),1543397674748.378
RoW,Commodity,Real estate services (70),7128299093943.749
RoW,Commodity,Renting services of machinery and equipment without operator and of personal and household goods (71),1172435953832.2188
RoW,Commodity,Computer and related services (72),2612366256321.3486
RoW,Commodity,Research and development services (73),749369947302.1328
RoW,Commodity,Other business services (74),6927006209011.621
RoW,Commodity,Public administration and defence services; compulsory social security services (75),8032695808426.521
RoW,Commodity,Education services (80),3095712736915.265
RoW,Commodity,Health and social work services (85),5847914963661.391
RoW,Commodity,Food waste for treatment: incineration,35905625849.19046
RoW,Commodity,Paper waste for treatment: incineration,38948149626.91103
RoW,Commodity,Plastic waste for treatment: incineration,22579056563.328217
RoW,Commodity,Intert/metal waste for treatment: incineration,14836380952.42159
RoW,Commodity,Textiles waste for treatment: incineration,10059712994.212576
RoW,Commodity,Wood waste for treatment: incineration,12243795990.915983
RoW,Commodity,Oil/hazardous waste for treatment: incineration,11700369701.948116
RoW,Commodity,Food waste for treatment: biogasification and land application,5120611133.15647
RoW,Commodity,Paper waste for treatment: biogasification and land application,1103439060.6658003
RoW,Commodity,Sewage sludge for treatment: biogasification and land application,40705051109.49402
RoW,Commodity,Food waste for treatment: composting and land application,20701020301.03026
RoW,Commodity,Paper and wood waste for treatment: composting and land application,14309474345.993132
RoW,Commodity,Food waste for treatment: waste water treatment,150230619244.3626
RoW,Commodity,Other waste for treatment: waste water treatment,208698591943.9615
RoW,Commodity,Food waste for treatment: landfill,82068512177.88657
RoW,Commodity,Paper for treatment: landfill,49976629706.4986
RoW,Commodity,Plastic waste for treatment: landfill,33327775008.580154
RoW,Commodity,Inert/metal/hazardous waste for treatment: landfill,49046635806.52791
RoW,Commodity,Textiles waste for treatment: landfill,13824239844.265617
RoW,Commodity,Wood waste for treatment: landfill,16739940696.806465
RoW,Commodity,Membership organisation services n.e.c. (91),725566681919.5876
RoW,Commodity,"Recreational, cultural and sporting services (92)",1494360425809.5742
RoW,Commodity,Other services (93),1278648707017.662
RoW,Commodity,Private households with employed persons (95),226435928720.51273
RoW,Commodity,Extra-territorial organizations and bodies,0.0
Russia,Commodity,Paddy rice,1214341706.2548046
Russia,Commodity,Wheat,16678120723.504187
Russia,Commodity,Cereal grains nec,8096146814.304355
Russia,Commodity,"Vegetables, fruit, nuts",9425025686.246088
Russia,Commodity,Oil seeds,4404828024.916177
Russia,Commodity,"Sugar cane, sugar beet",1778412399.6279755
Russia,Commodity,Plant-based fibers,15235661.84311638
Russia,Commodity,Crops nec,2637591480.1776695
Russia,Commodity,Cattle,4873516223.017862
Russia,Commodity,Pigs,5312728563.534471
Russia,Commodity,Poultry,8373654963.652916
Russia,Commodity,Meat animals nec,216385536.4029706
Russia,Commodity,Animal products nec,206824495.5591492
Russia,Commodity,Raw milk,13177612851.66395
Russia,Commodity,"Wool, silk-worm cocoons",36547581.291645296
Russia,Commodity,Manure (conventional treatment),0.0
Russia,Commodity,Manure (biogas treatment),0.0
Russia,Commodity,"Products of forestry, logging and related services (02)",8100664335.682766
Russia,Commodity,Fish and other fishing products; services incidental of fishing (05),4386251704.217575
Russia,Commodity,Anthracite,913468651.7607464
Russia,Commodity,Coking Coal,3135240752.9525495
Russia,Commodity,Other Bituminous Coal,20665028858.46177
Russia,Commodity,Sub-Bituminous Coal,6465879.680811609
Russia,Commodity,Patent Fuel,985448.3545023868
Russia,Commodity,Lignite/Brown Coal,1021853754.6788586
Russia,Commodity,BKB/Peat Briquettes,7287407.599140125
Russia,Commodity,Peat,47275747.700230785
Russia,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",140410173135.47882
Russia,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",22295214514.823395
Russia,Commodity,Natural Gas Liquids,1517740587.470372
Russia,Commodity,Other Hydrocarbons,12412161.854180599
Russia,Commodity,Uranium and thorium ores (12),567920268.2614105
Russia,Commodity,Iron ores,2783395944.355375
Russia,Commodity,Copper ores and concentrates,2660326394.2101135
Russia,Commodity,Nickel ores and concentrates,368553684.27030283
Russia,Commodity,Aluminium ores and concentrates,290005945.9328785
Russia,Commodity,Precious metal ores and concentrates,4091115448.7591476
Russia,Commodity,"Lead, zinc and tin ores and concentrates",1135005707.7173352
Russia,Commodity,Other non-ferrous metal ores and concentrates,559764149.2031057
Russia,Commodity,Stone,319629514.7975714
Russia,Commodity,Sand and clay,5228308596.565921
Russia,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",6129493342.94149
Russia,Commodity,Products of meat cattle,119191782.8702683
Russia,Commodity,Products of meat pigs,614321418.3674142
Russia,Commodity,Products of meat poultry,195199846.00660548
Russia,Commodity,Meat products nec,2440008524.1571045
Russia,Commodity,products of Vegetable oils and fats,17451616714.718376
Russia,Commodity,Dairy products,8906062609.080795
Russia,Commodity,Processed rice,718424130.8829677
Russia,Commodity,Sugar,4403213656.824272
Russia,Commodity,Food products nec,49317026291.88474
Russia,Commodity,Beverages,17401506085.78064
Russia,Commodity,Fish products,38649192315.23561
Russia,Commodity,Tobacco products (16),10925298679.134611
Russia,Commodity,Textiles (17),6528995953.306952
Russia,Commodity,Wearing apparel; furs (18),3676020022.994932
Russia,Commodity,Leather and leather products (19),6129771524.187829
Russia,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),19203161999.074047
Russia,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Russia,Commodity,Pulp,6455907481.447307
Russia,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
Russia,Commodity,Paper and paper products,13187540828.529314
Russia,Commodity,Printed matter and recorded media (22),6106573592.30092
Russia,Commodity,Coke Oven Coke,4954923163.01158
Russia,Commodity,Gas Coke,0.0
Russia,Commodity,Coal Tar,13014732.931082083
Russia,Commodity,Motor Gasoline,15749418857.690859
Russia,Commodity,Aviation Gasoline,2229500.2240920067
Russia,Commodity,Gasoline Type Jet Fuel,5227.002381099777
Russia,Commodity,Kerosene Type Jet Fuel,979551020.0058593
Russia,Commodity,Kerosene,29215658.13336724
Russia,Commodity,Gas/Diesel Oil,28751340290.308643
